currencyCode,unitPrice,location,effectiveStartDate,meterName,productName,serviceName,unitOfMeasure,type,reservationTerm,armSkuName,isPrimaryMeterRegion,CPU-cores
EUR,0.5618,DE West Central,2023-08-01T00:00:00Z,E48ads v5 Spot,Virtual Machines Eadsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E48ads_v5,True,48.0
EUR,2.0071,DE West Central,2024-05-01T00:00:00Z,DC64ads v5 Spot,DCadsv5-series Linux,Virtual Machines,1 Hour,Consumption,,Standard_DC64ads_v5,True,64.0
EUR,0.1358,DE West Central,2023-10-01T00:00:00Z,E4ads v5 Low Priority,Eadsv5 Series CloudServices,Virtual Machines,1 Hour,Consumption,,Standard_E4ads_v5,True,4.0
EUR,1.7884,DE West Central,2024-02-01T00:00:00Z,NC48ads_A100_v4 Low Priority,NCads A100 v4 Series Linux,Virtual Machines,1 Hour,Consumption,,Standard_NC48ads_A100_v4,True,48.0
EUR,1.6554,DE North,2023-09-01T00:00:00Z,B32ls v2,Virtual Machines Bsv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B32ls_v2,True,32.0
EUR,8557.1161,DE North,2023-09-01T00:00:00Z,B32ls v2,Virtual Machines Bsv2 Series,Virtual Machines,1 Hour,Reservation,1 Year,Standard_B32ls_v2,True,32.0
EUR,16533.7079,DE North,2023-09-01T00:00:00Z,B32ls v2,Virtual Machines Bsv2 Series,Virtual Machines,1 Hour,Reservation,3 Years,Standard_B32ls_v2,True,32.0
EUR,0.0333,DE North,2024-05-01T00:00:00Z,F4s Spot,Virtual Machines FS Series,Virtual Machines,1 Hour,Consumption,,Standard_F4s,True,4.0
EUR,0.3427,DE West Central,2023-11-01T00:00:00Z,EC8ascc v5 Low Priority,Virtual Machines ECasccv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_EC8as_cc_v5,True,8.0
EUR,0.103,DE West Central,2023-11-01T00:00:00Z,EC8ascc v5 Low Priority,Virtual Machines ECasccv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_EC8as_cc_v5,True,8.0
EUR,0.8127,DE North,2023-10-01T00:00:00Z,E8ads v5,Eadsv5 Series CloudServices,Virtual Machines,1 Hour,Consumption,,Standard_E8ads_v5,True,8.0
EUR,0.1601,DE North,2024-05-01T00:00:00Z,E16-4as v5 Spot,Virtual Machines Easv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E16-4as_v5,True,4.0
EUR,0.5818,DE North,2024-05-01T00:00:00Z,E32bs v5 Spot,Virtual Machines Ebsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E32bs_v5,True,32.0
EUR,0.4163,DE North,2024-05-01T00:00:00Z,E32bs v5 Spot,Virtual Machines Ebsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E32bs_v5,True,32.0
